name,code,first contract date,first data date,currency,group,universe,,,,,
Henry Hub Natural Gas,NG,6/1/1990,4/3/1990,USD,Non-Agricultural,15Y,,,,,
British Pound,BP,3/1/1980,3/20/1979,USD,Currencies,15Y,,,,,
Canadian Dollar,CD,3/1/1980,3/5/1979,USD,Currencies,15Y,,,,,
Japanese Yen,JY,3/1/1980,5/1/1979,USD,Currencies,15Y,,,,,
Swiss Franc,SF,3/1/1980,3/20/1979,USD,Currencies,15Y,,,,,
Australian Dollar,AD,3/1/1987,1/13/1987,USD,Currencies,15Y,,,,,
Mexican Peso,MP,6/1/1995,4/25/1995,USD,Currencies,15Y,,,,,
Euro FX,EC,3/1/1999,1/4/1999,USD,Currencies,15Y,,,,,
30-Year U.S. Treasury Bond,US,3/1/1980,3/6/1978,USD,Interest Rates,15Y,,,,,
Eurodollar,ED,6/1/1982,2/1/1982,USD,Interest Rates,15Y,,,,,
10-Year U.S. Treasury Note,TY,6/1/1982,5/3/1982,USD,Interest Rates,15Y,,,,,
ASX 10 Year Treasury Bond,YXB,3/1/1985,12/5/1984,AUD,Interest Rates,15Y,,,,,
Three-Month Canadian Bankers Acceptance,BAX,6/1/1988,4/22/1988,CAD,Interest Rates,15Y,,,,,
30 Day Federal Funds,FF,10/1/1988,10/3/1988,USD,Interest Rates,15Y,,,,,
Long Gilt,LLG,9/1/1988,2/23/1988,GBP,Interest Rates,15Y,,,,,
Three Month Sterling (Short Sterling),LSS,9/1/1990,8/17/1990,GBP,Interest Rates,15Y,,,,,
2-Year U.S. Treasury Note,TU,9/1/1990,6/22/1990,USD,Interest Rates,15Y,,,,,
ASX 90 Day Bank Accepted Bills,YIR,3/1/1991,3/10/1989,AUD,Interest Rates,15Y,,,,,
ASX 3 Year Treasury Bond,YYB,6/1/1988,5/17/1988,AUD,Interest Rates,15Y,,,,,
5-Year U.S. Treasury Note,FV,6/1/1988,5/20/1988,USD,Interest Rates,15Y,,,,,
Three Month Euro Swiss Franc (Euro-Swiss),LES,12/1/1991,9/24/1991,CHF,Interest Rates,15Y,,,,,
Ten-Year Government of Canada Bond,CGB,3/1/1997,10/2/1996,CAD,Interest Rates,15Y,,,,,
Euro-Bund,GBL,3/1/1999,1/4/1999,EUR,Interest Rates,15Y,,,,,
Euro-Bobl,GBM,3/1/1999,2/1/1999,EUR,Interest Rates,15Y,,,,,
Euro-Schatz,GBS,3/1/1999,1/20/1999,EUR,Interest Rates,15Y,,,,,
Three Month Euro (Euribor),LEU,3/1/1999,1/4/1999,EUR,Interest Rates,15Y,,,,,
Mini Japanese Government Bond,SJB,3/1/2000,12/10/1998,JPY,Interest Rates,15Y,,,,,
US Dollar Index,DX,3/1/1986,11/20/1985,USD,Indicies,15Y,,,,,
S&P 500,SP,6/1/1982,4/21/1982,USD,Indicies,15Y,,,,,
ASX SPI 200 Merged,SPIM,3/1/1983,2/16/1983,AUD,Indicies,15Y,,,,,
CAC 40,FCE,9/1/1988,8/18/1988,EUR,Indicies,15Y,,,,,
Nikkei 225 Dollar,NK,12/1/1990,9/25/1990,USD,Indicies,15Y,,,,,
Nikkei 225 (SGX),SNI,9/1/1990,9/21/1989,JPY,Indicies,15Y,,,,,
MSCI Singapore Index,SSG,10/1/1998,9/7/1989,SGD,Indicies,15Y,,,,,
S&P GSCI,GI,7/1/1996,4/15/1996,USD,Indicies,15Y,,,,,
Hang Seng Index,HS,4/1/1996,4/1/1996,HKD,Indicies,15Y,,,,,
FTSE 100,LFT,12/1/1994,10/11/1994,GBP,Indicies,15Y,,,,,
MSCI Taiwan Index,STW,3/1/1997,1/9/1997,USD,Indicies,15Y,,,,,
E-mini S&P MidCap 400,EMD,3/1/2002,1/28/2002,USD,Indicies,15Y,,,,,
E-mini S&P 500,ES,12/1/1997,9/9/1997,USD,Indicies,15Y,,,,,
DAX,DAX,3/1/1999,1/4/1999,EUR,Indicies,15Y,,,,,
EURO STOXX 50,ESX,6/1/1999,3/26/1999,EUR,Indicies,15Y,,,,,
Swiss Market Index,SMI,3/1/1999,1/4/1999,CHF,Indicies,15Y,,,,,
KOSPI 200,KOS,3/1/2001,12/12/2000,KRW,Indicies,15Y,,,,,
Mini-Hang Seng Index,HSM,10/1/2000,10/9/2000,HKD,Indicies,15Y,,,,,
SGX Nifty 50 Index,SIN,10/1/2000,9/25/2000,USD,Indicies,15Y,,,,,
S&P/TSX 60 Index,SXF,12/1/1999,9/7/1999,CAD,Indicies,15Y,,,,,
Russell 2000 Mini Index,TF,12/1/2001,10/23/2001,USD,Indicies,15Y,,,,,
E-mini NASDAQ 100,NQ,9/1/1999,7/12/1999,USD,Indicies,15Y,,,,,
,,,,,,,,,,,
Soybean Oil,BO,1/1/1979,1/17/1978,USD,Agricultural,20Y,,,,,
Cocoa,CC,12/1/1980,12/19/1979,USD,Agricultural,20Y,,,,,
