name,market code,roll out month,roll in month,month,day
,,Nov,Dec,Nov,15
,,Dec,Jan,Dec,15
norgate,DAX,Mar,Jun,Mar,14
,,Jun,Sep,Jun,14
,,Sep,Dec,Sep,14
,,Dec,Mar,Dec,14
norgate,ESX,Mar,Jun,Mar,14
,,Jun,Sep,Jun,14
,,Sep,Dec,Sep,14
,,Dec,Mar,Dec,14
norgate,SMI,Mar,Jun,Mar,14
,,Jun,Sep,Jun,14
,,Sep,Dec,Sep,14
,,Dec,Mar,Dec,14
norgate,TDX,Mar,Jun,Mar,14
,,Jun,Sep,Jun,14
,,Sep,Dec,Sep,14
,,Dec,Mar,Dec,14
norgate,GI,Jan,Feb,Jan,7
,,Feb,Mar,Feb,7
,,Mar,Apr,Mar,7
,,Apr,May,Apr,7
,,May,Jun,May,7
,,Jun,Jul,Jun,7
,,Jul,Aug,Jul,7
,,Aug,Sep,Aug,7
,,Sep,Oct,Sep,7
,,Oct,Nov,Oct,7
,,Nov,Dec,Nov,7
,,Dec,Jan,Dec,7
norgate,HS,Jan,Feb,Jan,26
,,Feb,Mar,Feb,24
,,Mar,Apr,Mar,26
,,Apr,May,Apr,26
,,May,Jun,May,26
,,Jun,Jul,Jun,26
,,Jul,Aug,Jul,26
,,Aug,Sep,Aug,26
,,Sep,Oct,Sep,26
,,Oct,Nov,Oct,26
,,Nov,Dec,Nov,26
,,Dec,Jan,Dec,26
norgate,KOS,Mar,Jun,Mar,7
,,Jun,Sep,Jun,7
,,Sep,Dec,Sep,7
,,Dec,Mar,Dec,7
norgate,HSM,Jan,Feb,Jan,26
,,Feb,Mar,Feb,24
,,Mar,Apr,Mar,26
,,Apr,May,Apr,26
,,May,Jun,May,26
,,Jun,Jul,Jun,26
,,Jul,Aug,Jul,26
,,Aug,Sep,Aug,26
,,Sep,Oct,Sep,26
,,Oct,Nov,Oct,26
,,Nov,Dec,Nov,26
,,Dec,Jan,Dec,26
norgate,NIY,Mar,Jun,Mar,6
,,Jun,Sep,Jun,6
,,Sep,Dec,Sep,6
,,Dec,Mar,Dec,6
norgate,NK,Mar,Jun,Mar,6
,,Jun,Sep,Jun,6
,,Sep,Dec,Sep,6
,,Dec,Mar,Dec,6
norgate,NQ,Mar,Jun,Mar,12
,,Jun,Sep,Jun,12
,,Sep,Dec,Sep,12
,,Dec,Mar,Dec,12
norgate,NQ,Mar,Jun,Mar,13
,,Jun,Sep,Jun,13
,,Sep,Dec,Sep,13
,,Dec,Mar,Dec,13
norgate,SCN,Jan,Feb,Jan,20
,,Feb,Mar,Feb,20
,,Mar,Apr,Mar,25
,,Apr,May,Apr,25
,,May,Jun,May,25
,,Jun,Jul,Jun,25
,,Jul,Aug,Jul,25
,,Aug,Sep,Aug,25
,,Sep,Oct,Sep,25
,,Oct,Nov,Oct,25
,,Nov,Dec,Nov,25
,,Dec,Jan,Dec,25
norgate,SIN,Jan,Feb,Jan,24
,,Feb,Mar,Feb,22
,,Mar,Apr,Mar,24
,,Apr,May,Apr,24
,,May,Jun,May,24
,,Jun,Jul,Jun,24
,,Jul,Aug,Jul,24
,,Aug,Sep,Aug,24
,,Sep,Oct,Sep,24
,,Oct,Nov,Oct,24
,,Nov,Dec,Nov,24
,,Dec,Jan,Dec,24
norgate,SNI,Mar,Jun,Mar,5
,,Jun,Sep,Jun,5
,,Sep,Dec,Sep,5
,,Dec,Mar,Dec,5
norgate,SP,Mar,Jun,Mar,12
,,Jun,Sep,Jun,12
,,Sep,Dec,Sep,12
,,Dec,Mar,Dec,12
norgate,SPIM,Mar,Jun,Mar,15
,,Jun,Sep,Jun,15
,,Sep,Dec,Sep,15
,,Dec,Mar,Dec,15
norgate,SSG,Jan,Feb,Jan,26
,,Feb,Mar,Feb,24
,,Mar,Apr,Mar,26
,,Apr,May,Apr,26
,,May,Jun,May,26
,,Jun,Jul,Jun,26
,,Jul,Aug,Jul,26
,,Aug,Sep,Aug,26
,,Sep,Oct,Sep,26
,,Oct,Nov,Oct,26
,,Nov,Dec,Nov,26
,,Dec,Jan,Dec,26
norgate,STW,Jan,Feb,Jan,20
,,Feb,Mar,Feb,20
,,Mar,Apr,Mar,26
,,Apr,May,Apr,26
,,May,Jun,May,26
,,Jun,Jul,Jun,26
,,Jul,Aug,Jul,26
,,Aug,Sep,Aug,26
,,Sep,Oct,Sep,26
,,Oct,Nov,Oct,26
,,Nov,Dec,Nov,26
,,Dec,Jan,Dec,26
norgate,SXF,Mar,Jun,Mar,13
,,Jun,Sep,Jun,13
,,Sep,Dec,Sep,13
,,Dec,Mar,Dec,13
norgate,TF,Mar,Jun,Mar,13
,,Jun,Sep,Jun,13
,,Sep,Dec,Sep,13
,,Dec,Mar,Dec,13
norgate,VX,Jan,Feb,Jan,12
,,Feb,Mar,Feb,12
,,Mar,Apr,Mar,12
,,Apr,May,Apr,12
,,May,Jun,May,12
,,Jun,Jul,Jun,12
,,Jul,Aug,Jul,12
,,Aug,Sep,Aug,12
,,Sep,Oct,Sep,12
,,Oct,Nov,Oct,12
,,Nov,Dec,Nov,12
,,Dec,Jan,Dec,12
norgate,YAP,Mar,Jun,Mar,15
,,Jun,Sep,Jun,15
,,Sep,Dec,Sep,15
,,Dec,Mar,Dec,15
norgate,YM,Mar,Jun,Mar,12
,,Jun,Sep,Jun,12
,,Sep,Dec,Sep,12
,,Dec,Mar,Dec,12
norgate,BAX,Mar,Jun,Mar,1
,,Jun,Sep,Jun,1
,,Sep,Dec,Sep,1
,,Dec,Mar,Dec,1
norgate,CGB,Mar,Jun,Mar,3
,,Jun,Sep,Jun,3
,,Sep,Dec,Sep,3
,,Dec,Mar,Dec,3
norgate,ED,Mar,Jun,Dec,12
,,Jun,Sep,Mar,12
,,Sep,Dec,Jun,12
,,Dec,Mar,Sep,12
norgate,BTP,Mar,Jun,Mar,4
,,Jun,Sep,Jun,4
,,Sep,Dec,Sep,4
,,Dec,Mar,Dec,4
norgate,FF,Jan,Feb,Jan,28
,,Feb,Mar,Feb,26
,,Mar,Apr,Mar,28
,,Apr,May,Apr,28
,,May,Jun,May,28
,,Jun,Jul,Jun,28
,,Jul,Aug,Jul,28
,,Aug,Sep,Aug,28
,,Sep,Oct,Sep,28
,,Oct,Nov,Oct,28
,,Nov,Dec,Nov,28
,,Dec,Jan,Dec,28
norgate,GBL,Mar,Jun,Mar,4
,,Jun,Sep,Jun,4
,,Sep,Dec,Sep,4
,,Dec,Mar,Dec,4
norgate,GBM,Mar,Jun,Mar,4
,,Jun,Sep,Jun,4
,,Sep,Dec,Sep,4
,,Dec,Mar,Dec,4
norgate,GBS,Mar,Jun,Mar,4
,,Jun,Sep,Jun,4
,,Sep,Dec,Sep,4
,,Dec,Mar,Dec,4
norgate,GBX,Mar,Jun,Mar,4
,,Jun,Sep,Jun,4
,,Sep,Dec,Sep,4
,,Dec,Mar,Dec,4
norgate,FV,Mar,Jun,Feb,26
,,Jun,Sep,May,28
,,Sep,Dec,Aug,28
,,Dec,Mar,Nov,28
norgate,LES,Mar,Jun,Dec,12
,,Jun,Sep,Mar,12
,,Sep,Dec,Jun,12
,,Dec,Mar,Sep,12
norgate,LEU,Mar,Jun,Dec,12
,,Jun,Sep,Mar,12
,,Sep,Dec,Jun,12
,,Dec,Mar,Sep,12
norgate,LLG,Mar,Jun,Feb,25
,,Jun,Sep,May,27
,,Sep,Dec,Aug,27
,,Dec,Mar,Nov,27
norgate,LSS,Mar,Jun,Dec,12
,,Jun,Sep,Mar,12
,,Sep,Dec,Jun,12
,,Dec,Mar,Sep,12
norgate,SJB,Mar,Jun,Mar,6
,,Jun,Sep,Jun,6
,,Sep,Dec,Sep,6
,,Dec,Mar,Dec,6
norgate,TU,Mar,Jun,Feb,26
,,Jun,Sep,May,28
,,Sep,Dec,Aug,28
,,Dec,Mar,Nov,28
norgate,TY,Mar,Jun,Feb,26
,,Jun,Sep,May,28
,,Sep,Dec,Aug,28
,,Dec,Mar,Nov,28
