Name,Exchange Rate Symbol,Group,History Start Date
Singapore Dollar/Euro,SGDEUR,Primary,1/4/1999
South African Rand/Euro,ZAREUR,Primary,1/4/1999
Swedish Kronor/Euro,SEKEUR,Primary,1/4/1999
Swiss Franc/Euro,CHFEUR,Primary,1/4/1999
Taiwan Dollar/Euro,TWDEUR,Primary,1/4/1999
United States Dollar/Euro,USDEUR,Primary,1/4/1999
New Zealand Dollar/Japanese Yen,NZDJPY,Primary,1/2/1991
Japanese Yen/Swiss Franc,JPYCHF,Primary,1/2/1991
Brazilian Real/United States Dollar,BRLUSD,Primary,7/4/1994
Canadian Dollar/United States Dollar,CADUSD,Primary,1/2/1991
Chilean Peso/United States Dollar,CLPUSD,Primary,1/2/1991
Chinese Yuan/United States Dollar,CNYUSD,Primary,1/4/1994
Danish Krone/United States Dollar,DKKUSD,Primary,1/2/1991
Hong Kong Dollar/United States Dollar,HKDUSD,Primary,1/2/1991
Hungarian Forint/United States Dollar,HUFUSD,Primary,6/15/1993
Indian Rupee/United States Dollar,INRUSD,Primary,1/2/1991
Israeli Shekel/United States Dollar,ILSUSD,Primary,1/2/1991
Japanese Yen/United States Dollar,JPYUSD,Primary,1/2/1991
Malaysian Ringgit/United States Dollar,MYRUSD,Primary,1/2/1991
Mexican Peso/United States Dollar,MXNUSD,Primary,7/11/1994
New Zealand Dollar/United States Dollar,NZDUSD,Primary,1/2/1991
Norwegian Krone/United States Dollar,NOKUSD,Primary,1/2/1991
Polish Zloty/United States Dollar,PLNUSD,Primary,6/15/1993
Russian Rouble/United States Dollar,RUBUSD,Primary,9/7/1994
Singapore Dollar/United States Dollar,SGDUSD,Primary,1/2/1991
South African Rand/United States Dollar,ZARUSD,Primary,12/23/1992
South Korean Won/United States Dollar,KRWUSD,Primary,1/2/1991
Swedish Kronor/United States Dollar,SEKUSD,Primary,1/2/1991
Swiss Franc/United States Dollar,CHFUSD,Primary,1/2/1991
Taiwan Dollar/United States Dollar,TWDUSD,Primary,1/2/1991
Turkish Lira/United States Dollar,TRYUSD,Primary,1/2/1991
,,,
Gold/Australian Dollar,XAUAUD,Gold,7/1/1982
Gold/British Pound,XAUGBP,Gold,7/1/1982
Gold/Canadian Dollar,XAUCAD,Gold,7/1/1982
Gold/Euro,XAUEUR,Gold,1/4/1999
Gold/Japanese Yen,XAUJPY,Gold,7/1/1982
Gold/Swiss Franc,XAUCHF,Gold,7/1/1982
Gold/United States Dollar,XAUUSD,Gold,7/1/1982
Silver/Australian Dollar,XAGAUD,Silver,7/1/1982
Silver/British Pound,XAGGBP,Silver,7/1/1982
Silver/Canadian Dollar,XAGCAD,Silver,7/1/1982
Silver/Euro,XAGEUR,Silver,1/4/1999
Silver/Japanese Yen,XAGJPY,Silver,7/1/1982
Silver/Swiss Franc,XAGCHF,Silver,7/1/1982
Silver/United States Dollar,XAGUSD,Silver,7/1/1982
